Station_Name,Year,count
MOORABBIN AIRPORT,2009,14
MOORABBIN AIRPORT,2010,8
MOORABBIN AIRPORT,2011,2
MOORABBIN AIRPORT,2012,8
MOORABBIN AIRPORT,2013,14
MOORABBIN AIRPORT,2014,11
MOORABBIN AIRPORT,2015,14
MOORABBIN AIRPORT,2016,10
MOORABBIN AIRPORT,2017,10
MOORABBIN AIRPORT,2018,10
MOORABBIN AIRPORT,2019,15
MOORABBIN AIRPORT,2020,5
MOORABBIN AIRPORT,2021,3
BREAKWATER (GEELONG RACECOURSE),2011,2
BREAKWATER (GEELONG RACECOURSE),2012,11
BREAKWATER (GEELONG RACECOURSE),2013,13
BREAKWATER (GEELONG RACECOURSE),2014,11
BREAKWATER (GEELONG RACECOURSE),2015,13
BREAKWATER (GEELONG RACECOURSE),2016,7
BREAKWATER (GEELONG RACECOURSE),2017,7
BREAKWATER (GEELONG RACECOURSE),2018,6
BREAKWATER (GEELONG RACECOURSE),2019,15
BREAKWATER (GEELONG RACECOURSE),2020,4
BREAKWATER (GEELONG RACECOURSE),2021,3
PERTH AIRPORT,2009,39
PERTH AIRPORT,2010,43
PERTH AIRPORT,2011,50
PERTH AIRPORT,2012,39
PERTH AIRPORT,2013,36
PERTH AIRPORT,2014,28
PERTH AIRPORT,2015,33
PERTH AIRPORT,2016,30
PERTH AIRPORT,2017,33
PERTH AIRPORT,2018,16
PERTH AIRPORT,2019,39
PERTH AIRPORT,2020,35
PERTH AIRPORT,2021,24
